Longitude,Latitude,Cluster
56.254275,-3.205206,1
47.16871,9.479731,4
52.501572,13.282908,3
52.501169,13.283341,3
52.501177,13.282786,3
40.837919,14.253644,0
40.751827,14.480822,0
40.751394,14.484491,0
40.751647,14.491852,0
40.750958,14.492294,0
40.751633,14.494286,0
40.751633,14.494286,0
40.751944,14.494722,0
40.751944,14.494722,0
40.751361,14.494388,0
40.75095,14.495574,0
40.750833,14.495555,0
40.750833,14.495555,0
41.716969,2.932512,2
40.749419,14.488705,0
40.749097,14.489077,0
40.748805,14.489027,0
40.748411,14.488852,0
40.748411,14.488852,0
40.748411,14.488852,0
40.748411,14.488852,0
40.748822,14.488422,0
40.74883,14.485355,0
40.748119,14.483652,0
40.748119,14.483652,0
40.748238,14.483391,0
40.748238,14.483391,0
40.851111,14.256944,0
40.851111,14.256944,0
40.851111,14.256944,0
40.847819,14.253358,0
40.847819,14.253358,0
40.847819,14.253358,0
40.847819,14.253358,0
40.847819,14.253358,0
40.847819,14.253358,0
40.847819,14.253358,0
40.846216,14.248152,0
53.637594,-2.813378,1
41.090555,14.328333,0
41.090555,14.328611,0
41.086219,14.328219,0
41.086219,14.328219,0
41.086219,14.328219,0
40.837777,14.249444,0
40.836388,14.249444,0
40.836388,14.249444,0
40.837222,14.248611,0
41.077305,14.322208,0
41.076416,14.321263,0
40.836388,14.251388,0
40.836388,14.251388,0
40.836388,14.251388,0
40.836388,14.251388,0
40.836388,14.251388,0
40.836388,14.251388,0
40.838611,14.248888,0
41.073102,14.326902,0
41.073102,14.326902,0
41.073102,14.326902,0
40.836388,14.251388,0
40.836388,14.251388,0
41.073102,14.326902,0
41.073102,14.326902,0
41.073102,14.326902,0
40.837777,14.245555,0
40.837777,14.245555,0
41.073102,14.326902,0
41.073102,14.326902,0
41.073102,14.326902,0
41.073102,14.326902,0
40.828611,14.247777,0
40.813055,14.201944,0
41.073102,14.326902,0
40.827777,14.248055,0
41.073102,14.326902,0
41.073102,14.326902,0
41.073102,14.326902,0
40.843888,14.256111,0
40.851077,14.256894,0
49.643234,19.604909,3
41.073102,14.326902,0
41.073102,14.326902,0
52.509221,13.371573,3
48.783055,9.271111,4
48.208516,16.372225,4
48.209288,16.369585,4
51.081817,13.758616,3
43.712533,7.283753,4
43.694042,7.283248,4
43.70902,7.259441,4
49.306319,19.932705,3
49.298636,19.945388,3
49.298311,19.945763,3
48.229583,16.409094,4
49.30663,19.932794,3
49.306786,19.932755,3
45.797657,24.152122,0
45.798068,24.149354,0
45.798068,24.149354,0
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
39.864145,-0.068911,2
53.370211,0.236261,1
53.371772,0.239416,1
42.633475,11.664311,0
53.372041,0.239722,1
53.371563,0.237725,1
53.370319,0.236252,1
53.370177,0.235916,1
52.92448,-1.231964,1
52.933216,-1.227395,1
53.395416,-0.228264,1
37.778984,20.897991,0
57.699905,-2.116084,1
57.699905,-2.116084,1
